レースコード,レース場,レース回,風向,風速,波の高さ,スタンド距離,級別,3連複_結果,全国勝率_Zスコア,当地勝率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240611FKO01,19,0,1,2.0,2.0,50.0,3,0,-1.565498433480627,-1.7175882255444734,-1.6309692614870774,-1.361245897568493,1.7722938923963598
20240611FKO02,19,1,1,3.0,3.0,50.0,2,0,0.3000673696253149,0.5243437803273828,-1.0667344562701644,1.2554205258465263,0.8770580193070495
20240611FKO03,19,2,1,3.0,3.0,50.0,2,1,0.2293929822729579,0.4567954317102211,-0.1961281597500082,0.9949532704230618,-0.6085806194501964
20240611FKO04,19,3,1,3.0,3.0,50.0,2,0,-0.9356715993783674,-1.7579656779682435,-0.2259641999977807,1.7449886661563323,-0.3986032682998875
20240611FKO05,19,4,1,2.0,2.0,50.0,0,0,1.2811272011877042,1.250270894743882,0.8307374166481453,-0.9727804514470436,0.7694837640638762
20240611FKO06,19,5,1,3.0,3.0,50.0,1,1,0.5385885632927889,0.8578447889365797,-0.0999639130772663,-0.5211270711312851,1.6383875382491797
20240611FKO07,19,6,1,2.0,2.0,50.0,2,0,-0.2683597457511838,-0.4100913814789159,-0.0573922237875818,0.6563278100029835,1.492340450834745
20240611FKO08,19,7,1,2.0,2.0,50.0,2,0,-0.5914120747890352,0.5890170063906633,-0.6344214152267245,-1.8120953494233272,-0.6754697823349515
20240611FKO09,19,8,1,2.0,2.0,50.0,2,0,-0.2827040339088437,-1.888555197826213,0.1706572119963645,-0.9903065628971206,1.157109835116235
20240611FKO10,19,9,1,2.0,2.0,50.0,2,0,-1.518377578627048,0.103250231898369,1.023958856873758,0.8772768863480988,-1.5498260496951746
20240611FKO11,19,10,1,2.0,2.0,50.0,1,0,0.2261303342095744,0.4427646511477097,0.9706974760106138,1.9910490041055484,0.1006054545731899
20240611FKO12,19,11,1,2.0,2.0,50.0,0,0,-0.764268356844877,-0.7079098555864045,-0.0982644173593706,-0.3473548005930119,0.2214037213849997
20240611TKY01,13,0,8,1.0,1.0,45.0,2,0,0.3249918753046736,0.8474430572670537,0.802458344052446,-0.8839190452376644,0.1451380338536921
20240611TKY02,13,1,8,1.0,1.0,45.0,2,0,-1.6028400328261634,-0.7173514368389562,0.3413837678525605,-0.5652961869454363,0.7634472069272026
20240611TKY03,13,2,8,1.0,1.0,45.0,2,0,0.3928475102084514,0.7812551568687627,-0.7364383964750159,-1.599081744662103,0.9447793865558376
20240611TKY04,13,3,8,2.0,2.0,45.0,2,0,-1.5012716673409323,-1.5986677441395818,0.3111682271053212,0.6120535016883889,0.5535093034625518
20240611TKY05,13,4,1,2.0,2.0,45.0,1,0,0.5725337816747204,0.3434167464538336,-0.8007237488382978,0.1990423455861363,1.3521679662509345
20240611TKY06,13,5,2,1.0,1.0,45.0,2,0,-1.3496040467065202,-0.982628050658947,1.4924050144892729,-0.7418235926320282,1.4846436160461944
20240611TKY07,13,6,8,1.0,1.0,45.0,1,0,0.6798261507547017,0.8209299587728985,1.2345542693590492,-1.315411347133146,-1.3740107731454452
20240611TKY08,13,7,2,2.0,2.0,45.0,1,0,0.6780549412219185,0.9364542117668544,0.3964979796228641,-1.5245029710984923,0.0
20240611TKY09,13,8,2,2.0,2.0,45.0,0,0,1.1427525152999534,1.3602291632748418,-1.0528953930363667,-0.7397556505218705,-0.1480872194397758
20240611TKY10,13,9,2,2.0,2.0,45.0,2,0,-1.2552718671636307,-0.5729671085523687,0.7297500682936282,0.5070478835793026,1.258205086830797
20240611TKY11,13,10,2,3.0,3.0,45.0,0,0,1.597019634601074,1.0318534574659748,-0.5976143046671969,1.0452560163534053,-1.507151411220517
20240611TKY12,13,11,2,2.0,2.0,45.0,1,0,-1.506338783091814,-0.4851092513343996,1.3157792963401953,-0.2894973951685297,-1.4331750103628758
20240611MYJ01,9,0,5,3.0,3.0,40.0,0,0,-0.9778214937073284,-0.1019278173968767,-1.0461295176794252,-1.8529827309208184,0.9320913722598022
20240611MYJ02,9,1,4,2.0,2.0,40.0,0,0,0.472074145164346,1.3432953266980638,1.1553393737238813,0.5932175806488574,-1.234609899270012
20240611MYJ03,9,2,1,3.0,3.0,40.0,0,1,0.6904509632033636,-0.4738364074659547,1.7222738472883738,-1.2289560971321143,-1.3622878626996977
20240611MYJ04,9,3,1,3.0,3.0,40.0,0,0,-0.5917186725690516,-1.0133842263838408,-0.816365565585886,-0.1295688285879718,-1.1952286093343991
20240611MYJ05,9,4,1,2.0,2.0,40.0,0,0,-1.3132700204447794,-1.4292360014750545,1.452101410276078,1.5657932848145637,-0.0816496580928285
20240611MYJ06,9,5,1,3.0,3.0,40.0,0,1,0.121545233636345,0.7738059811002327,-0.101497122623252,-1.309326242883187,0.5929270612815805
20240611MYJ07,9,6,1,3.0,3.0,40.0,0,1,1.1045847045150077,0.1187453615999047,-0.0916211648336972,-0.1865493461147107,1.3727030725871567
20240611MYJ08,9,7,1,4.0,4.0,40.0,0,0,0.543153611400718,-0.9291617472397968,-0.5500466848490118,0.8221195840060287,0.8932896514651294
20240611MYJ09,9,8,0,3.0,3.0,40.0,0,0,0.4399648042234366,0.3506571075015402,0.2422965035500294,0.2501026137804139,-0.2376913442707697
20240611MYJ10,9,9,1,3.0,3.0,40.0,0,0,-0.6618973023925169,0.540576250820684,-0.2542069534587403,-0.5409973013930512,-0.3191061914625919
20240611MYJ11,9,10,1,2.0,2.0,40.0,0,1,-1.3474088279496368,-1.1385250154699296,-0.9968172502935744,-0.8510874411065651,1.0657731941415138
20240611MYJ12,9,11,1,3.0,3.0,40.0,0,0,-0.4444808844162148,0.5726667602176193,1.230315757056041,-0.2756636087373061,-1.278019300845365
20240611KJM01,5,0,4,3.0,3.0,43.0,2,1,0.1759621358524027,0.328949179888816,0.5886940465876697,1.0020074860276067,0.7227828441299543
20240611KJM02,5,1,4,4.0,3.0,43.0,0,0,1.0325831389516094,0.8825208094457367,0.4293164854034964,-1.2499167974706231,1.4150511185983592
20240611KJM03,5,2,4,3.0,3.0,43.0,1,0,1.1142053684642856,0.8859241140826375,0.6816396691159314,-1.0200661087542384,0.0192492870677356
20240611KJM04,5,3,4,3.0,3.0,43.0,1,0,1.671301207921731,0.8315186807994684,-0.185561241095916,-1.1303632681400773,0.0
20240611KJM05,5,4,4,3.0,3.0,43.0,0,1,0.9934572394617271,0.9532460503040906,1.030512768741222,-0.460642866770479,0.3585685828003102
20240611KJM06,5,5,4,4.0,3.0,43.0,2,0,0.2975503782422318,-0.1267162817720048,0.6320285156626271,0.6543121596709821,0.884024435494769
20240611KJM07,5,6,3,2.0,3.0,43.0,1,0,0.115731339629414,0.314499446560075,-0.1400643809785955,-1.4872108397944697,0.0869072499313732
20240611KJM08,5,7,4,3.0,3.0,43.0,2,0,-0.7911064978868915,0.0111200073134633,0.0598643207492816,-0.123227354192655,-0.9043092307131632
20240611KJM09,5,8,3,3.0,3.0,43.0,1,0,1.5203914151243256,0.7694717253614115,-0.8352921457691357,0.4844154209858642,-0.0455865987803773
20240611KJM10,5,9,3,2.0,3.0,43.0,1,1,-0.3619786222848342,0.3166847008136239,0.3222829690403379,1.5213237197985998,0.5781216125786133
20240611KJM11,5,10,3,2.0,3.0,43.0,0,0,-0.4128183763865509,0.1408926104559175,0.3939397613781145,0.3520714197241235,-1.2967932252551486
20240611KJM12,5,11,3,3.0,3.0,43.0,0,0,-1.0362580298147288,-1.3927125365384052,-1.378275890069592,-0.3895066640755321,-0.2655803369237029
20240611SME01,4,0,4,1.0,1.0,45.0,2,0,0.8044304104418694,0.2953821651496315,0.6714082762103528,-1.2854441791309186,-1.4523258583128087
20240611SME02,4,1,7,0.0,1.0,45.0,2,1,1.766051890483149,0.3125491731390299,0.904103534845186,1.1591058172221993,1.2395013660192395
20240611SME03,4,2,4,2.0,1.0,45.0,1,0,0.0703937861255055,0.4770395745549934,-0.994441400833086,-1.6756845534467646,0.9352760024870732
20240611SME04,4,3,4,2.0,1.0,45.0,2,0,-0.0411453656289055,0.42980845505918,-1.1258040979722754,1.3559931521188524,-1.135549947915329
20240611SME05,4,4,7,0.0,1.0,45.0,1,0,0.9064268823006773,1.3279893617362828,-1.7834665513239998,1.5854743441421135,0.7863075542638954
20240611SME06,4,5,4,1.0,1.0,45.0,1,0,0.7150202709893866,0.7459646145581689,-0.0074324016861337,0.5425388269070388,-0.1754223994181575
20240611SME07,4,6,4,2.0,1.0,45.0,3,0,-1.3862932346735837,-0.4720873288810199,0.4467040427486167,0.4895340878552482,0.2988071523336174
20240611SME08,4,7,7,0.0,1.0,45.0,3,0,-0.6367170940100999,0.0008229136653409,0.4403081245487235,1.0542473275037472,-1.2148677353760968
20240611SME09,4,8,7,0.0,1.0,45.0,2,0,-0.7221096214232698,0.1563578650159482,0.1390449447218394,1.9466992699776704,1.1593472394004385
20240611SME10,4,9,6,3.0,1.0,45.0,2,0,-0.3376956381409522,0.4838662890983851,0.7989789927773598,0.475409856816736,0.7015169165829029
20240611SME11,4,10,8,2.0,1.0,45.0,0,1,1.3194443347385558,0.999559130337574,1.3909689531787872,-0.6827198283252877,-0.6907237049944019
20240611SME12,4,11,8,2.0,1.0,45.0,2,0,-1.8770237242673076,-1.2609260929262922,-1.2602215446358798,-1.07200555035424,-0.7233642332556002
20240611MKN01,1,0,4,4.0,4.0,45.0,3,0,-1.644377857907472,-1.7574096637016443,1.3334086575537885,1.3671962239458784,0.0
20240611MKN02,1,1,3,3.0,3.0,45.0,2,0,-0.1264009630962377,-0.0940680243420914,0.3402981931176504,0.9373062017830132,0.7925939239012251
20240611MKN03,1,2,4,3.0,3.0,45.0,1,1,0.8053501274752021,0.5701229574564403,-0.5952368444806307,-0.8157226273104082,0.4166426228877291
20240611MKN04,1,3,0,2.0,2.0,45.0,0,0,1.059365421729611,0.8154119737908996,0.6522895532032692,-1.1580383767987366,-0.9890707100936628
